date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:52:13	10856528/10856528	---M--	200	added ('OK')	application/pdf	date:Wed,%2030%20Jun%202021%2012:14:54%20GMT	https://metahero.io/media/61/download/Metahero_WP_KR_V3_4.pdf?v=1	D:/Learning%20and%20lifestyle/Start%20ups%20and%20ideas/Nevera%20stranica/Metahero/metahero.io/media/61/download/metahero-wp-kr-v3-4.pdf;%20filename_=utf-8''Metahero_WP_KR_V3_43860.pdf	(from https://metahero.io/es)
17:52:14	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2020%20Jan%202022%2016:52:12%20GMT	http://metahero.io/media/69/download/WHITEPAPER%20V%203.5.pdf?v=1	D:/Learning%20and%20lifestyle/Start%20ups%20and%20ideas/Nevera%20stranica/Metahero/metahero.io/media/69/download/WHITEPAPER%20V%203.5.4b3860.delayed	(from https://metahero.io/es)
17:52:43	5858605/5858605	---M--	200	added ('OK')	application/pdf	date:Sun,%2027%20Jun%202021%2006:38:35%20GMT	https://metahero.io/media/58/download/Metahero_WP_JP.pdf?v=1	D:/Learning%20and%20lifestyle/Start%20ups%20and%20ideas/Nevera%20stranica/Metahero/metahero.io/media/58/download/metahero-wp-jp.pdf;%20filename_=utf-8''Metahero_WP_JP3860.pdf	(from https://metahero.io/es)
17:52:44	4244605/4244605	---M--	200	added ('OK')	application/pdf	date:Mon,%2005%20Jul%202021%2021:03:59%20GMT	https://metahero.io/media/69/download/WHITEPAPER%20V%203.5.pdf?v=1	D:/Learning%20and%20lifestyle/Start%20ups%20and%20ideas/Nevera%20stranica/Metahero/metahero.io/media/69/download/whitepaper-v-3-5.pdf;%20filename_=utf-8''WHITEPAPER%20V%203.53860.pdf	(from https://metahero.io/es)
17:52:46	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2020%20Jan%202022%2016:52:43%20GMT	http://metahero.io/es/terms-and-conditions	D:/Learning%20and%20lifestyle/Start%20ups%20and%20ideas/Nevera%20stranica/Metahero/metahero.io/es/terms-and-conditions.4e.delayed	(from https://metahero.io/es)
17:52:46	207528/207528	---M--	200	added ('OK')	text/html	etag:%2232aa8-5d173cf754aa0%22	https://metahero.io/uploads/media/800x/08/268-trailer-thumbnail.webp?v=1-0	D:/Learning%20and%20lifestyle/Start%20ups%20and%20ideas/Nevera%20stranica/Metahero/metahero.io/uploads/media/800x/08/268-trailer-thumbnail0016.html	(from https://metahero.io/es)
17:52:46	18246/18246	---M-Z	200	added ('OK')	text/html	date:Thu,%2020%20Jan%202022%2016:52:45%20GMT	https://metahero.io/es/terms-and-conditions	D:/Learning%20and%20lifestyle/Start%20ups%20and%20ideas/Nevera%20stranica/Metahero/metahero.io/es/terms-and-conditions.html	(from https://metahero.io/es)
17:52:48	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2020%20Jan%202022%2016:52:45%20GMT	http://metahero.io/es/privacy-policy	D:/Learning%20and%20lifestyle/Start%20ups%20and%20ideas/Nevera%20stranica/Metahero/metahero.io/es/privacy-policy	(from https://metahero.io/es)
17:52:48	18219/18219	---M-Z	200	added ('OK')	text/html	date:Thu,%2020%20Jan%202022%2016:52:47%20GMT	https://metahero.io/es/privacy-policy	D:/Learning%20and%20lifestyle/Start%20ups%20and%20ideas/Nevera%20stranica/Metahero/metahero.io/es/privacy-policy.html	(from https://metahero.io/es)
17:52:49	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2020%20Jan%202022%2016:52:47%20GMT	http://metahero.io/pt/tech	D:/Learning%20and%20lifestyle/Start%20ups%20and%20ideas/Nevera%20stranica/Metahero/metahero.io/pt/tech	(from https://metahero.io/pt)
17:52:49	33038/33038	---M-Z	200	added ('OK')	text/html	date:Thu,%2020%20Jan%202022%2016:48:56%20GMT	https://metahero.io/pt/tech	D:/Learning%20and%20lifestyle/Start%20ups%20and%20ideas/Nevera%20stranica/Metahero/metahero.io/pt/tech.html	(from https://metahero.io/pt)
17:52:51	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2020%20Jan%202022%2016:52:48%20GMT	http://metahero.io/pt/equipe	D:/Learning%20and%20lifestyle/Start%20ups%20and%20ideas/Nevera%20stranica/Metahero/metahero.io/pt/equipe	(from https://metahero.io/pt)
